Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0sHFw13WH3LtSB3yP8UMYJ,"7gvbCoLA8lJUktp8G2xIRR,0HthCchcL0kVLHTr113Vk1","Falling for U","Falling for U","Peachy!,mxmtoon",2017-08-14,124000,0,spotify:user:flaredfive830,2020-03-06T14:54:55Z,"lo-fi beats,alt z,bedroom pop,indie pop,pov: indie",0.516,0.358,8,-12.018,0,0.424,0.743,0.0000013,0.0813,0.397,79.509,4
0Ys4J7iim6STsGeLmFLWIo,"5b0XQwyoJBFd3MwL2YxEPO,0CTpeTOAvzc1FOlPj4uYWV,4Qz5J3GBpmR1LcPgqFbzlW","Smile","Smile","Nohidea,Ben Beal,sophie meiers",2016-11-11,144040,45,spotify:user:flaredfive830,2020-03-06T14:55:44Z,"lo-fi beats,lo-fi rap,bedroom soul",0.531,0.487,2,-10.321,0,0.22,0.911,0.00201,0.222,0.749,75.487,4
4MJfCOcc2PpWOrUqOpvy1S,"1ShZZUjkbXCjhwrb18BA8I","Sunflower Seeds","Sunflower Seeds","Bryce Vine",2016-08-26,228610,47,spotify:user:flaredfive830,2020-03-06T14:57:24Z,"indie pop rap",0.723,0.592,10,-5.816,1,0.0309,0.195,0.0000536,0.217,0.272,92.987,4
3f9Mzvd3URfbbIJBX4pz9Z,"6USv9qhCn6zfxlBQIYJ9qs,1rHOtdmGNr5vcYNw5v7QGC","Phone Numbers","Phone Numbers","Dominic Fike,Kenny Beats",2019-07-04,146826,70,spotify:user:flaredfive830,2020-03-06T14:58:45Z,"alternative pop rock,pov: indie,indie hip hop,trap,underground hip hop",0.884,0.539,1,-6.389,0,0.208,0.239,0,0.0805,0.776,85.008,4
0q6LuUqGLUiCPP1cbdwFs3,"3AA28KZvwAUcZuOKwyblJQ","On Melancholy Hill","Plastic Beach","Gorillaz",2010-03-03,233866,73,spotify:user:flaredfive830,2020-03-06T15:01:02Z,"alternative hip hop,modern rock,rock",0.689,0.739,2,-5.81,1,0.026,0.0000151,0.509,0.064,0.578,120.423,4
7yMiX7n9SBvadzox8T5jzT,"3AA28KZvwAUcZuOKwyblJQ","Clint Eastwood","Gorillaz","Gorillaz",2001,340920,64,spotify:user:flaredfive830,2020-03-06T15:01:06Z,"alternative hip hop,modern rock,rock",0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,4
5r5cp9IpziiIsR6b93vcnQ,"67hb7towEyKvt5Z8Bx306c","Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,198440,74,spotify:user:flaredfive830,2020-03-06T16:40:55Z,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
7hqL3TkHYyamoTR8mTHbKc,"0lawSNBxNgJFQYJnQzLH8c,6chWbUfdu6ibyaCXM1w8kQ,7J4Pg0NGyrWoMrROYhnlP6","Come True","Come True","khai dreams,Forrest.,Biskwiq",2018-09-20,203520,0,spotify:user:flaredfive830,2020-03-06T16:46:33Z,"lo-fi rap,pov: indie",0.871,0.676,1,-5.572,0,0.147,0.51,0.0000034,0.0545,0.763,125.07,4
312WNtMs3F28cUukaPY9bo,"6LuN9FCkKOj5PcnpouEgny","American Teen","American Teen","Khalid",2017-04-27,250746,58,spotify:user:flaredfive830,2020-03-06T17:02:10Z,"pop,pop r&b",0.658,0.623,0,-6.934,1,0.0398,0.0683,0,0.321,0.207,100.436,4
4sNG6zQBmtq7M8aeeKJRMQ,"2D4FOOOtWycb3Aw9nY5n3c","Brazil","What Do You Think About the Car?","Declan McKenna",2017-07-21,252306,77,spotify:user:flaredfive830,2020-04-07T00:43:55Z,"pov: indie",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
